plot,PD,rate,block,rye_bio_0.25m,rye_bio,weed_bio_0.25m,weed_bio,rye_bio_0.125m,rye_bio_phen,rye_seedlings_B,fall_can_B,fall_can_A,sp_can_A,sp_can_B_noweeds,sp_can_B_weedy,sp_can_B_weeds,tillers_n,soybean_ac,peak_bio_0.5m2,peak_bio,seeds.n,seedhead.n,seedhead.wt,seedhead.avg.wt,seed.per.head
101E,Early,1.5,1,171.6,6864,1.538,61.52,55.8,4464,186,0.2209,0.2317,0.6298,0.5198,0.6045,0.0847,22,158000,49.29,985.80,99,13,1.303,0.100230769,7.615384615
101L,Late,1.5,1,119.7,4788,1.616,64.64,47.5,3800,102,0.1289,0.0878,0.4948,0.3915,0.4652,0.0737,11,143000,52.35,1047.08,142,30,2.569,0.085633333,4.733333333
102E,Early,0,1,80.3,3212,0.064,2.56,27.7,2216,135,0.1475,0.1328,0.2239,0.2457,0.2591,0.0134,54,177000,41.71,834.12,620,61,9.385,0.153852459,10.16393443
102L,Late,0,1,67.3,2692,0.116,4.64,58.7,4696,156,0.0603,0.0527,0.1844,0.1948,0.1944,-0.0004,45,173000,58.26,1165.20,581,68,8.527,0.125397059,8.544117647
103E,Early,3,1,218.2,8728,3.206,128.24,53.1,4248,104,0.3531,0.2624,0.6046,0.5918,0.66,0.0682,18,136000,23.28,465.52,191,17,3.159,0.185823529,11.23529412
103L,Late,3,1,125.5,5020,0.58,23.2,90.3,7224,147,0.1864,0.1875,0.4275,0.4515,0.5004,0.0489,21,144000,43.59,871.82,136,15,2.432,0.162133333,9.066666667
201E,Early,0,2,62,2480,0.247,9.88,18.5,1480,181,0.0981,0.0896,0.2827,0.2246,0.2333,0.0087,59,197000,54.14,1082.82,453,62,7.407,0.119467742,7.306451613
201L,Late,0,2,92,3680,0.856,34.24,41.1,3288,170,0.1488,0.1224,0.324,0.3324,0.3526,0.0202,38,192000,56.58,1131.52,411,54,5.547,0.102722222,7.611111111
202E,Early,1.5,2,89,3560,2.46,98.4,42.2,3376,174,0.1048,0.072,0.282,0.2397,0.2211,-0.0186,20,155000,61.68,1233.52,167,23,2.851,0.123956522,7.260869565
202L,Late,1.5,2,126.3,5052,2.219,88.76,54.1,4328,204,0.1532,0.1201,0.3343,0.3919,0.4134,0.0215,10,197000,34.28,685.54,109,19,1.904,0.100210526,5.736842105
